timestamp,yaw_composite,yaw_variance,yaw[0],yaw[1],yaw[2],yaw[3],yaw[4],innov_vn[0],innov_vn[1],innov_vn[2],innov_vn[3],innov_vn[4],innov_ve[0],innov_ve[1],innov_ve[2],innov_ve[3],innov_ve[4],weight[0],weight[1],weight[2],weight[3],weight[4]
278843227,-3.1294193,0.04052236,-3.1316836,-3.0563176,-2.3796897,2.1195378,3.0287929,0.15537906,0.11835215,-0.29372218,-0.22408718,0.15253264,0.06212926,0.15869188,0.7332291,-0.8624921,-0.031989932,0.7660646,0.15625864,6.0945742e-05,6.0945742e-05,0.077555
278853231,-3.1304748,0.04052338,-3.1327395,-3.0573716,-2.380763,2.118486,3.0277376,0.15537906,0.11835215,-0.29372218,-0.22408718,0.15253264,0.06212926,0.15869188,0.7332291,-0.8624921,-0.031989932,0.7660646,0.15625864,6.0945742e-05,6.0945742e-05,0.077555
278863241,-3.1313972,0.040524386,-3.1336622,-3.058293,-2.3817031,2.1175637,3.0268161,0.15537906,0.11835215,-0.29372218,-0.22408718,0.15253264,0.06212926,0.15869188,0.7332291,-0.8624921,-0.031989932,0.7660646,0.15625864,6.0945742e-05,6.0945742e-05,0.077555
278873239,-3.1316433,0.040525343,-3.1339083,-3.0585396,-2.38195,2.117319,3.026572,0.15537906,0.11835215,-0.29372218,-0.22408718,0.15253264,0.06212926,0.15869188,0.7332291,-0.8624921,-0.031989932,0.7660646,0.15625864,6.0945742e-05,6.0945742e-05,0.077555
278883262,-3.1326454,0.040526345,-3.1349108,-3.059541,-2.3829694,2.1163182,3.025571,0.15537906,0.11835215,-0.29372218,-0.22408718,0.15253264,0.06212926,0.15869188,0.7332291,-0.8624921,-0.031989932,0.7660646,0.15625864,6.0945742e-05,6.0945742e-05,0.077555
278893246,-3.132656,0.04052727,-3.1349216,-3.0595527,-2.382975,2.1163085,3.025563,0.15537906,0.11835215,-0.29372218,-0.22408718,0.15253264,0.06212926,0.15869188,0.7332291,-0.8624921,-0.031989932,0.7660646,0.15625864,6.0945742e-05,6.0945742e-05,0.077555
278903249,-3.123516,0.04041983,-3.130245,-3.039719,-2.3501859,2.1495354,3.0574358,0.15537906,0.11835215,-0.29372218,-0.22408718,0.15253264,0.06212926,0.15869188,0.7332291,-0.8624921,-0.031989932,0.7660646,0.15625864,6.0945742e-05,6.0945742e-05,0.077555
278913254,-3.1249616,0.040420815,-3.1316903,-3.0411654,-2.351601,2.1480932,3.0559902,0.15537906,0.11835215,-0.29372218,-0.22408718,0.15253264,0.06212926,0.15869188,0.7332291,-0.8624921,-0.031989932,0.7660646,0.15625864,6.0945742e-05,6.0945742e-05,0.077555
278923263,-3.1260438,0.04042185,-3.1327724,-3.0422473,-2.3526568,2.147018,3.0549066,0.15537906,0.11835215,-0.29372218,-0.22408718,0.15253264,0.06212926,0.15869188,0.7332291,-0.8624921,-0.031989932,0.7660646,0.15625864,6.0945742e-05,6.0945742e-05,0.077555
278933270,-3.1276824,0.040422846,-3.1344109,-3.0438864,-2.354259,2.145385,3.0532675,0.15537906,0.11835215,-0.29372218,-0.22408718,0.15253264,0.06212926,0.15869188,0.7332291,-0.8624921,-0.031989932,0.7660646,0.15625864,6.0945742e-05,6.0945742e-05,0.077555
278943268,-3.1287796,0.040423878,-3.135508,-3.0449836,-2.3553314,2.1442938,3.0521684,0.15537906,0.11835215,-0.29372218,-0.22408718,0.15253264,0.06212926,0.15869188,0.7332291,-0.8624921,-0.031989932,0.7660646,0.15625864,6.0945742e-05,6.0945742e-05,0.077555
278953272,-3.1299205,0.040424928,-3.136649,-3.0461237,-2.3564453,2.1431603,3.0510256,0.15537906,0.11835215,-0.29372218,-0.22408718,0.15253264,0.06212926,0.15869188,0.7332291,-0.8624921,-0.031989932,0.7660646,0.15625864,6.0945742e-05,6.0945742e-05,0.077555
278963285,-3.131501,0.04042595,-3.1382291,-3.0477047,-2.3579915,2.1415854,3.0494437,0.15537906,0.11835215,-0.29372218,-0.22408718,0.15253264,0.06212926,0.15869188,0.7332291,-0.8624921,-0.031989932,0.7660646,0.15625864,6.0945742e-05,6.0945742e-05,0.077555
278973280,-3.1330535,0.04042698,-3.1397815,-3.049257,-2.3595057,2.140043,3.0478895,0.15537906,0.11835215,-0.29372218,-0.22408718,0.15253264,0.06212926,0.15869188,0.7332291,-0.8624921,-0.031989932,0.7660646,0.15625864,6.0945742e-05,6.0945742e-05,0.077555
278983286,-3.1348472,0.040427994,-3.1415749,-3.0510514,-2.3612556,2.1382594,3.046094,0.15537906,0.11835215,-0.29372218,-0.22408718,0.15253264,0.06212926,0.15869188,0.7332291,-0.8624921,-0.031989932,0.7660646,0.15625864,6.0945742e-05,6.0945742e-05,0.077555
278993290,-3.1363027,0.04042904,3.1401553,-3.0525067,-2.3626785,2.1368113,3.0446362,0.15537906,0.11835215,-0.29372218,-0.22408718,0.15253264,0.06212926,0.15869188,0.7332291,-0.8624921,-0.031989932,0.7660646,0.15625864,6.0945742e-05,6.0945742e-05,0.077555
